number_sta,date,precip
14066001,2018-09-11,0.2
14066001,2018-09-12,0.2
14066001,2018-09-13,0.8
14066001,2018-09-14,0.2
14066001,2018-09-15,0.2
14066001,2018-09-16,0.2
14066001,2018-09-17,0.2
14066001,2018-09-18,0.0
14066001,2018-09-19,0.0
14066001,2018-09-20,0.0
14066001,2018-09-21,1.8
14066001,2018-09-22,4.2
14066001,2018-09-23,6.6000000000000005
14066001,2018-09-24,0.0
14066001,2018-09-25,0.0
14066001,2018-09-26,0.0
14066001,2018-09-27,0.2
14066001,2018-09-28,0.0
14066001,2018-09-29,0.0
14066001,2018-09-30,0.2
14066001,2018-10-01,0.2
14066001,2018-10-02,0.0
14066001,2018-10-03,0.0
14066001,2018-10-04,0.2
14066001,2018-10-05,0.2
14066001,2018-10-06,63.7
14066001,2018-10-07,8.200000000000001
14066001,2018-10-08,0.0
14066001,2018-10-09,0.0
14066001,2018-10-10,0.6000000000000001
14066001,2018-10-11,0.6000000000000001
14066001,2018-10-12,0.0
14066001,2018-10-13,0.0
14066001,2018-10-14,2.8000000000000003
14066001,2018-10-15,0.0
14066001,2018-10-16,0.2
14066001,2018-10-17,0.2
14066001,2018-10-18,0.0
14066001,2018-10-19,0.0
14066001,2018-10-20,0.0
14066001,2018-10-21,0.2
14066001,2018-10-22,0.2
14066001,2018-10-23,0.0
14066001,2018-10-24,0.0
14066001,2018-10-25,0.0
14066001,2018-10-26,2.6
14066001,2018-10-27,9.2
14066001,2018-10-28,12.200000000000001
14066001,2018-10-29,7.2
14066001,2018-10-30,1.2000000000000002
14066001,2018-10-31,2.8000000000000003
14066001,2018-11-01,3.2
14066001,2018-11-02,0.8
14066001,2018-11-03,0.0
14066001,2018-11-04,0.0
14066001,2018-11-05,0.0
14066001,2018-11-06,2.0
14066001,2018-11-07,10.5
14066001,2018-11-08,0.0
14066001,2018-11-09,2.0
14066001,2018-11-10,3.0
14066001,2018-11-11,0.2
14066001,2018-11-12,0.6000000000000001
14066001,2018-11-13,0.0
14066001,2018-11-14,0.2
14066001,2018-11-15,0.0
14066001,2018-11-16,0.0
14066001,2018-11-17,0.0
14066001,2018-11-18,0.0
14066001,2018-11-19,0.2
14066001,2018-11-20,1.2000000000000002
14066001,2018-11-21,0.2
14066001,2018-11-22,0.4
14066001,2018-11-23,0.2
14066001,2018-11-24,4.0
14066001,2018-11-25,0.2
14066001,2018-11-26,0.6000000000000001
14066001,2018-11-27,6.800000000000001
14066001,2018-11-28,3.2
