number_sta,date,ff
14066001,2018-08-29,5.618333333333334
14066001,2018-08-30,1.5304166666666668
14066001,2018-08-31,2.3712500000000003
14066001,2018-09-01,2.9391666666666665
14066001,2018-09-02,3.302916666666667
14066001,2018-09-03,3.61625
14066001,2018-09-04,4.62
14066001,2018-09-05,5.117916666666667
14066001,2018-09-06,4.891666666666667
14066001,2018-09-07,3.68
14066001,2018-09-08,2.26125
14066001,2018-09-09,2.125
14066001,2018-09-10,3.243333333333333
14066001,2018-09-11,2.7275
14066001,2018-09-12,4.043333333333333
14066001,2018-09-13,4.245
14066001,2018-09-14,3.4925
14066001,2018-09-15,2.620833333333333
14066001,2018-09-16,1.925
14066001,2018-09-17,2.2983333333333333
14066001,2018-09-18,4.430833333333334
14066001,2018-09-19,5.38125
14066001,2018-09-20,6.502916666666667
14066001,2018-09-21,7.20125
14066001,2018-09-22,4.453333333333333
14066001,2018-09-23,7.644583333333333
14066001,2018-09-24,3.9166666666666665
14066001,2018-09-25,2.5829166666666667
14066001,2018-09-26,2.4745833333333334
14066001,2018-09-27,1.4466666666666665
14066001,2018-09-28,7.872916666666667
14066001,2018-09-29,5.30625
14066001,2018-09-30,4.9366666666666665
14066001,2018-10-01,6.49625
14066001,2018-10-02,5.377083333333333
14066001,2018-10-03,3.6791666666666667
14066001,2018-10-04,2.277916666666667
14066001,2018-10-05,1.3883333333333332
14066001,2018-10-06,5.61
14066001,2018-10-07,8.82
14066001,2018-10-08,1.6766666666666665
14066001,2018-10-09,2.0941666666666667
14066001,2018-10-10,2.9820833333333336
14066001,2018-10-11,4.069166666666667
14066001,2018-10-12,4.091666666666667
14066001,2018-10-13,4.118333333333333
14066001,2018-10-14,2.36625
14066001,2018-10-15,2.9141666666666666
14066001,2018-10-16,2.17125
14066001,2018-10-17,3.1199999999999997
14066001,2018-10-18,7.111666666666666
14066001,2018-10-19,4.7908333333333335
14066001,2018-10-20,3.48
14066001,2018-10-21,2.027083333333333
14066001,2018-10-22,7.4470833333333335
14066001,2018-10-23,4.275
14066001,2018-10-24,2.8975
14066001,2018-10-25,3.2904166666666668
14066001,2018-10-26,6.439583333333333
14066001,2018-10-27,6.144583333333333
14066001,2018-10-28,11.235000000000001
14066001,2018-10-29,9.674583333333334
14066001,2018-10-30,6.256666666666666
14066001,2018-10-31,2.5520833333333335
14066001,2018-11-01,3.534583333333333
14066001,2018-11-02,1.9604166666666667
14066001,2018-11-03,2.7054166666666664
14066001,2018-11-04,2.6545833333333335
14066001,2018-11-05,2.0783333333333336
14066001,2018-11-06,2.9829166666666667
14066001,2018-11-07,5.822500000000001
14066001,2018-11-08,3.6983333333333333
14066001,2018-11-09,5.5625
14066001,2018-11-10,4.416250000000001
14066001,2018-11-11,4.647083333333333
14066001,2018-11-12,3.78125
14066001,2018-11-13,4.457083333333333
14066001,2018-11-14,2.5204166666666667
14066001,2018-11-15,2.64625
