number_sta,date,dd
14066001,2018-08-29,286.2083333333333
14066001,2018-08-30,167.75
14066001,2018-08-31,115.58333333333333
14066001,2018-09-01,103.875
14066001,2018-09-02,82.04166666666667
14066001,2018-09-03,53.5
14066001,2018-09-04,35.166666666666664
14066001,2018-09-05,27.333333333333332
14066001,2018-09-06,232.875
14066001,2018-09-07,293.9583333333333
14066001,2018-09-08,153.375
14066001,2018-09-09,235.875
14066001,2018-09-10,239.625
14066001,2018-09-11,210.375
14066001,2018-09-12,162.66666666666666
14066001,2018-09-13,198.41666666666666
14066001,2018-09-14,245.33333333333334
14066001,2018-09-15,183.125
14066001,2018-09-16,155.5
14066001,2018-09-17,156.33333333333334
14066001,2018-09-18,201.54166666666666
14066001,2018-09-19,206.54166666666666
14066001,2018-09-20,205.79166666666666
14066001,2018-09-21,248.70833333333334
14066001,2018-09-22,196.91666666666666
14066001,2018-09-23,255.5
14066001,2018-09-24,43.833333333333336
14066001,2018-09-25,110.25
14066001,2018-09-26,104.79166666666667
14066001,2018-09-27,110.375
14066001,2018-09-28,63.5
14066001,2018-09-29,72.91666666666667
14066001,2018-09-30,268.5833333333333
14066001,2018-10-01,320.375
14066001,2018-10-02,258.6666666666667
14066001,2018-10-03,283.9583333333333
14066001,2018-10-04,119.25
14066001,2018-10-05,123.16666666666667
14066001,2018-10-06,126.41666666666667
14066001,2018-10-07,33.208333333333336
14066001,2018-10-08,188.54166666666666
14066001,2018-10-09,126.91666666666667
14066001,2018-10-10,120.66666666666667
14066001,2018-10-11,175.45833333333334
14066001,2018-10-12,171.91666666666666
14066001,2018-10-13,170.0
14066001,2018-10-14,175.875
14066001,2018-10-15,134.0
14066001,2018-10-16,187.70833333333334
14066001,2018-10-17,108.5
14066001,2018-10-18,64.375
14066001,2018-10-19,55.5
14066001,2018-10-20,84.625
14066001,2018-10-21,162.125
14066001,2018-10-22,33.458333333333336
14066001,2018-10-23,236.375
14066001,2018-10-24,263.2916666666667
14066001,2018-10-25,280.3333333333333
14066001,2018-10-26,286.9583333333333
14066001,2018-10-27,160.83333333333334
14066001,2018-10-28,65.20833333333333
14066001,2018-10-29,52.416666666666664
14066001,2018-10-30,255.91666666666666
14066001,2018-10-31,131.20833333333334
14066001,2018-11-01,225.0
14066001,2018-11-02,208.875
14066001,2018-11-03,171.45833333333334
14066001,2018-11-04,147.0
14066001,2018-11-05,126.41666666666667
14066001,2018-11-06,155.79166666666666
