date,number_sta,precip
2022-05-22,50410003,15.5
2022-05-22,50484002,15.5
2022-05-22,50509002,15.5
2022-05-22,50514001,15.4
2022-05-22,50615001,15.5
2022-05-22,53083001,15.5
2022-05-22,53096004,15.5
2022-05-22,53110002,15.5
2022-05-22,53116003,15.5
2022-05-22,53130008,14.5
2022-05-22,53159002,15.5
2022-05-22,53185001,15.5
2022-05-22,56004001,15.5
2022-05-22,56007001,15.5
2022-05-22,56009001,15.5
2022-05-22,56017003,15.5
2022-05-22,56069001,15.5
2022-05-22,56127001,15.5
2022-05-22,56137001,15.5
2022-05-22,56151001,15.5
2022-05-22,56159001,15.5
2022-05-22,56165003,15.5
2022-05-22,56166005,15.5
2022-05-22,56185001,15.3
2022-05-22,56240003,15.5
2022-05-22,56243001,15.5
2022-05-22,60322001,15.5
2022-05-22,60566001,14.1
2022-05-22,61001001,15.5
2022-05-22,61006005,15.5
2022-05-22,61169003,15.5
2022-05-22,61179001,15.5
2022-05-22,61214002,15.5
2022-05-22,61275001,15.5
2022-05-22,61387001,15.5
2022-05-22,61404001,15.3
2022-05-22,61426001,15.1
2022-05-22,61485002,15.5
2022-05-22,61491002,15.5
2022-05-22,62054001,15.5
2022-05-22,62076002,14.9
2022-05-22,62160001,15.5
2022-05-22,62548002,15.5
2022-05-22,62826001,15.2
2022-05-22,72086001,15.5
2022-05-22,72172003,15.5
2022-05-22,72175002,15.5
2022-05-22,72181001,15.3
2022-05-22,72255001,15.5
2022-05-22,72264001,15.5
2022-05-22,72284001,15.5
2022-05-22,72361001,15.5
2022-05-22,76116001,15.5
2022-05-22,76130001,15.5
2022-05-22,76171001,15.5
2022-05-22,76208001,13.8
2022-05-22,76217001,15.5
2022-05-22,76228001,15.5
2022-05-22,76473001,15.5
2022-05-22,76481001,15.4
2022-05-22,76552001,15.5
2022-05-22,76746001,15.5
2022-05-22,78140001,15.5
2022-05-22,78354001,15.0
2022-05-22,78465001,14.3
2022-05-22,78562001,13.9
2022-05-22,79049004,15.5
2022-05-22,79079013,15.4
2022-05-22,79134001,15.5
2022-05-22,79191005,15.0
2022-05-22,79202003,15.1
2022-05-22,79215001,15.5
2022-05-22,79270003,15.0
2022-05-22,79309001,15.5
2022-05-22,79320002,15.5
2022-05-22,79326004,15.4
2022-05-22,79329001,15.5
